CustomerID,Tenure Months,Monthly Charges,Total Charges,Contract,Payment Method,Internet Service,Churn Label,Churn Value,Churn Score,CLTV,Churn Reason,City,State,tenure_group,revenue_band,service_count,customer_value,risk_segment,Segment,RFM_Score,R_Score,F_Score,M_Score,Churn Theme,Sentiment_Score,Sentiment_Label
3668-QPYBK,2,53.85,108.15,Month-to-month,Mailed check,DSL,Yes,1,86,3239,Competitor made better offer,Los Angeles,California,New,Medium,4,Standard,Low Risk,High Risk,6,1,3,2,Competitor,0.4404,Positive
9237-HQITU,2,70.7,151.65,Month-to-month,Electronic check,Fiber optic,Yes,1,67,2701,Moved,Los Angeles,California,New,High,2,Standard,Low Risk,High Risk,5,1,1,3,Personal Reasons,0.0,Neutral
9305-CDSKC,8,99.65,820.5,Month-to-month,Electronic check,Fiber optic,Yes,1,86,5372,Moved,Los Angeles,California,New,Premium,6,Standard,Low Risk,High Risk,11,2,4,5,Personal Reasons,0.0,Neutral
7892-POOKP,28,104.8,3046.05,Month-to-month,Electronic check,Fiber optic,Yes,1,84,5003,Moved,Los Angeles,California,Mid,Premium,7,High Value,Low Risk,Champions,13,3,5,5,Personal Reasons,0.0,Neutral
0280-XJGEX,49,103.7,5036.3,Month-to-month,Bank transfer (automatic),Fiber optic,Yes,1,89,5340,Competitor had better devices,Los Angeles,California,Loyal,Premium,7,High Value,Low Risk,Champions,14,4,5,5,Competitor,0.4404,Positive
4190-MFLUW,10,55.2,528.35,Month-to-month,Credit card (automatic),DSL,Yes,1,78,5925,Competitor offered higher download speeds,Los Angeles,California,New,Medium,4,Standard,Low Risk,High Risk,7,2,3,2,Competitor,0.0,Neutral
8779-QRDMV,1,39.65,39.65,Month-to-month,Electronic check,DSL,Yes,1,100,5433,Competitor offered more data,Los Angeles,California,New,Medium,3,Standard,Low Risk,New Passives,5,1,2,2,Competitor,0.0,Neutral
1066-JKSGK,1,20.15,20.15,Month-to-month,Mailed check,No,Yes,1,92,4832,Competitor made better offer,Los Angeles,California,New,Low,1,Standard,Low Risk,New Passives,3,1,1,1,Competitor,0.4404,Positive
6467-CHFZW,47,99.35,4749.15,Month-to-month,Electronic check,Fiber optic,Yes,1,77,5789,Competitor had better devices,Los Angeles,California,Loyal,Premium,6,High Value,Low Risk,Champions,13,4,4,5,Competitor,0.4404,Positive
8665-UTDHZ,1,30.2,30.2,Month-to-month,Electronic check,DSL,Yes,1,97,2915,Competitor had better devices,Los Angeles,California,New,Low,2,Standard,Low Risk,New Passives,4,1,1,2,Competitor,0.4404,Positive
8773-HHUOZ,17,64.7,1093.1,Month-to-month,Mailed check,DSL,Yes,1,74,3022,Competitor offered higher download speeds,Los Angeles,California,Mid,Medium,4,Standard,Low Risk,High Risk,8,2,3,3,Competitor,0.0,Neutral
6047-YHPVI,5,69.7,316.9,Month-to-month,Electronic check,Fiber optic,Yes,1,66,2454,Competitor offered higher download speeds,Los Angeles,California,New,High,2,Standard,Low Risk,High Risk,5,1,1,3,Competitor,0.0,Neutral
5380-WJKOV,34,106.35,3549.25,Month-to-month,Electronic check,Fiber optic,Yes,1,65,2941,Competitor offered higher download speeds,Los Angeles,California,Mid,Premium,7,High Value,Low Risk,Champions,13,3,5,5,Competitor,0.0,Neutral
8168-UQWWF,11,97.85,1105.4,Month-to-month,Bank transfer (automatic),Fiber optic,Yes,1,70,5674,Competitor offered more data,Los Angeles,California,New,Premium,6,Standard,Low Risk,High Risk,11,2,4,5,Competitor,0.0,Neutral
7760-OYPDY,2,80.65,144.15,Month-to-month,Electronic check,Fiber optic,Yes,1,90,5586,Competitor offered more data,Los Angeles,California,New,High,3,Standard,Low Risk,High Risk,7,1,2,4,Competitor,0.0,Neutral
9420-LOJKX,15,99.1,1426.4,Month-to-month,Credit card (automatic),Fiber optic,Yes,1,82,2966,Competitor offered more data,Los Angeles,California,Mid,Premium,6,Standard,Low Risk,High Risk,11,2,4,5,Competitor,0.0,Neutral
7495-OOKFY,8,80.65,633.3,Month-to-month,Credit card (automatic),Fiber optic,Yes,1,69,5302,Competitor made better offer,Los Angeles,California,New,High,4,Standard,Low Risk,High Risk,9,2,3,4,Competitor,0.4404,Positive
1658-BYGOY,18,95.45,1752.55,Month-to-month,Electronic check,Fiber optic,Yes,1,81,3179,Competitor made better offer,Los Angeles,California,Mid,Premium,5,Standard,Low Risk,High Risk,10,2,3,5,Competitor,0.4404,Positive
5698-BQJOH,9,94.4,857.25,Month-to-month,Electronic check,Fiber optic,Yes,1,96,5571,Price too high,Beverly Hills,California,New,Premium,5,Standard,Low Risk,High Risk,10,2,3,5,Pricing,0.0,Neutral
5919-TMRGD,1,79.35,79.35,Month-to-month,Electronic check,Fiber optic,Yes,1,87,2483,Product dissatisfaction,Huntington Park,California,New,High,3,Standard,Low Risk,High Risk,7,1,2,4,Product & Offers,-0.4939,Negative
9191-MYQKX,7,75.15,496.9,Month-to-month,Bank transfer (automatic),Fiber optic,Yes,1,70,3457,Service dissatisfaction,Lynwood,California,New,High,3,Standard,Low Risk,High Risk,7,2,2,3,Customer Service,-0.4939,Negative
8637-XJIVR,12,78.95,927.35,Month-to-month,Electronic check,Fiber optic,Yes,1,86,5806,Lack of self-service on Website,Marina Del Rey,California,New,High,4,Standard,Low Risk,High Risk,8,2,3,3,Customer Service,-0.3182,Negative
0278-YXOOG,5,21.05,113.85,Month-to-month,Mailed check,No,Yes,1,66,2604,Network reliability,Inglewood,California,New,Low,1,Standard,Low Risk,New Passives,3,1,1,1,Network Quality,0.0,Neutral
4598-XLKNJ,25,98.5,2514.5,Month-to-month,Electronic check,Fiber optic,Yes,1,88,5337,Limited range of services,Inglewood,California,Mid,Premium,6,High Value,Low Risk,High Risk,12,3,4,5,Customer Service,-0.2263,Negative
3192-NQECA,68,110.0,7611.85,Two year,Bank transfer (automatic),Fiber optic,Yes,1,86,5034,Lack of affordable download/upload speed,Santa Monica,California,Champion,Premium,8,High Value,Low Risk,Champions,15,5,5,5,Network Quality,-0.3182,Negative
0486-HECZI,55,96.75,5238.9,Month-to-month,Electronic check,Fiber optic,Yes,1,75,5154,Long distance charges,Torrance,California,Loyal,Premium,6,High Value,Low Risk,Champions,13,4,4,5,Other,-0.2732,Negative
4846-WHAFZ,37,76.5,2868.15,Month-to-month,Electronic check,Fiber optic,Yes,1,67,2793,Extra data charges,Whittier,California,Loyal,High,3,Standard,Low Risk,High Risk,8,3,2,3,Other,-0.2732,Negative
5299-RULOA,10,100.25,1064.65,Month-to-month,Electronic check,Fiber optic,Yes,1,87,5998,Price too high,Whittier,California,New,Premium,6,Standard,Low Risk,High Risk,11,2,4,5,Pricing,0.0,Neutral
0404-SWRVG,3,74.4,229.55,Month-to-month,Electronic check,Fiber optic,Yes,1,76,4415,Product dissatisfaction,La Habra,California,New,High,3,Standard,Low Risk,High Risk,6,1,2,3,Product & Offers,-0.4939,Negative
4412-YLTKF,27,78.05,2135.5,Month-to-month,Electronic check,Fiber optic,Yes,1,95,4638,Service dissatisfaction,Pico Rivera,California,Mid,High,4,Standard,Low Risk,High Risk,9,3,3,3,Customer Service,-0.4939,Negative
6207-WIOLX,25,58.6,1502.65,Month-to-month,Credit card (automatic),DSL,Yes,1,99,4190,Lack of self-service on Website,Avalon,California,Mid,Medium,6,Standard,Low Risk,High Risk,9,3,4,2,Customer Service,-0.3182,Negative
3091-FYHKI,1,35.45,35.45,Month-to-month,Electronic check,DSL,Yes,1,80,2301,Network reliability,Harbor City,California,New,Medium,2,Standard,Low Risk,New Passives,4,1,1,2,Network Quality,0.0,Neutral
2372-HWUHI,2,44.35,81.25,Month-to-month,Electronic check,DSL,Yes,1,76,2570,Don't know,Lakewood,California,New,Medium,2,Standard,Low Risk,New Passives,4,1,1,2,Other,0.0,Neutral
0390-DCFDQ,1,70.45,70.45,Month-to-month,Mailed check,Fiber optic,Yes,1,76,3964,Don't know,Los Alamitos,California,New,High,2,Standard,Low Risk,High Risk,5,1,1,3,Other,0.0,Neutral
