CustomerID,Churn Reason,Churn Theme,Sentiment_Score,Sentiment_Label
3668-QPYBK,Competitor made better offer,Competitor,0.4404,Positive
9237-HQITU,Moved,Personal Reasons,0.0,Neutral
9305-CDSKC,Moved,Personal Reasons,0.0,Neutral
7892-POOKP,Moved,Personal Reasons,0.0,Neutral
0280-XJGEX,Competitor had better devices,Competitor,0.4404,Positive
4190-MFLUW,Competitor offered higher download speeds,Competitor,0.0,Neutral
8779-QRDMV,Competitor offered more data,Competitor,0.0,Neutral
1066-JKSGK,Competitor made better offer,Competitor,0.4404,Positive
6467-CHFZW,Competitor had better devices,Competitor,0.4404,Positive
8665-UTDHZ,Competitor had better devices,Competitor,0.4404,Positive
8773-HHUOZ,Competitor offered higher download speeds,Competitor,0.0,Neutral
6047-YHPVI,Competitor offered higher download speeds,Competitor,0.0,Neutral
5380-WJKOV,Competitor offered higher download speeds,Competitor,0.0,Neutral
8168-UQWWF,Competitor offered more data,Competitor,0.0,Neutral
7760-OYPDY,Competitor offered more data,Competitor,0.0,Neutral
9420-LOJKX,Competitor offered more data,Competitor,0.0,Neutral
7495-OOKFY,Competitor made better offer,Competitor,0.4404,Positive
1658-BYGOY,Competitor made better offer,Competitor,0.4404,Positive
5698-BQJOH,Price too high,Pricing,0.0,Neutral
5919-TMRGD,Product dissatisfaction,Product & Offers,-0.4939,Negative
9191-MYQKX,Service dissatisfaction,Customer Service,-0.4939,Negative
8637-XJIVR,Lack of self-service on Website,Customer Service,-0.3182,Negative
0278-YXOOG,Network reliability,Network Quality,0.0,Neutral
4598-XLKNJ,Limited range of services,Customer Service,-0.2263,Negative
3192-NQECA,Lack of affordable download/upload speed,Network Quality,-0.3182,Negative
0486-HECZI,Long distance charges,Other,-0.2732,Negative
4846-WHAFZ,Extra data charges,Other,-0.2732,Negative
5299-RULOA,Price too high,Pricing,0.0,Neutral
0404-SWRVG,Product dissatisfaction,Product & Offers,-0.4939,Negative
4412-YLTKF,Service dissatisfaction,Customer Service,-0.4939,Negative
6207-WIOLX,Lack of self-service on Website,Customer Service,-0.3182,Negative
