CustomerID,Cluster,Segment,Recency,Frequency,Monetary,R_Score,F_Score,M_Score,RFM_Score
3668-QPYBK,3,High Risk,70,4,53.85,1,3,2,6
9237-HQITU,3,High Risk,70,2,70.7,1,1,3,5
9305-CDSKC,3,High Risk,64,6,99.65,2,4,5,11
7892-POOKP,1,Champions,44,7,104.8,3,5,5,13
0280-XJGEX,1,Champions,23,7,103.7,4,5,5,14
4190-MFLUW,3,High Risk,62,4,55.2,2,3,2,7
8779-QRDMV,2,New Passives,71,3,39.65,1,2,2,5
1066-JKSGK,2,New Passives,71,1,20.15,1,1,1,3
6467-CHFZW,1,Champions,25,6,99.35,4,4,5,13
8665-UTDHZ,2,New Passives,71,2,30.2,1,1,2,4
8773-HHUOZ,3,High Risk,55,4,64.7,2,3,3,8
6047-YHPVI,3,High Risk,67,2,69.7,1,1,3,5
5380-WJKOV,1,Champions,38,7,106.35,3,5,5,13
8168-UQWWF,3,High Risk,61,6,97.85,2,4,5,11
7760-OYPDY,3,High Risk,70,3,80.65,1,2,4,7
9420-LOJKX,3,High Risk,57,6,99.1,2,4,5,11
7495-OOKFY,3,High Risk,64,4,80.65,2,3,4,9
1658-BYGOY,3,High Risk,54,5,95.45,2,3,5,10
5698-BQJOH,3,High Risk,63,5,94.4,2,3,5,10
5919-TMRGD,3,High Risk,71,3,79.35,1,2,4,7
9191-MYQKX,3,High Risk,65,3,75.15,2,2,3,7
8637-XJIVR,3,High Risk,60,4,78.95,2,3,3,8
0278-YXOOG,2,New Passives,67,1,21.05,1,1,1,3
4598-XLKNJ,3,High Risk,47,6,98.5,3,4,5,12
3192-NQECA,1,Champions,4,8,110.0,5,5,5,15
0486-HECZI,1,Champions,17,6,96.75,4,4,5,13
4846-WHAFZ,3,High Risk,35,3,76.5,3,2,3,8
5299-RULOA,3,High Risk,62,6,100.25,2,4,5,11
0404-SWRVG,3,High Risk,69,3,74.4,1,2,3,6
4412-YLTKF,3,High Risk,45,4,78.05,3,3,3,9
6207-WIOLX,3,High Risk,47,6,58.6,3,4,2,9
3091-FYHKI,2,New Passives,71,2,35.45,1,1,2,4
2372-HWUHI,2,New Passives,70,2,44.35,1,1,2,4
0390-DCFDQ,3,High Risk,71,2,70.45,1,1,3,5
4080-OGPJL,3,High Risk,64,6,71.15,2,4,3,9
2135-RXIHG,2,New Passives,71,2,45.65,1,1,2,4
3874-EQOEP,3,High Risk,65,5,95.0,2,3,5,10
0867-MKZVY,3,High Risk,52,4,82.4,3,3,4,10
3376-BMGFE,3,High Risk,68,2,70.9,1,1,3,5
3445-HXXGF,0,Loyal Basics,14,4,45.3,4,3,2,9
1875-QIVME,3,High Risk,70,7,104.4,1,5,5,11
0691-JVSYA,1,Champions,19,5,94.85,4,3,5,12
2656-FMOKZ,3,High Risk,57,3,74.45,2,2,3,7
2070-FNEXE,3,High Risk,65,3,76.45,2,2,3,7
6317-YPKDH,2,New Passives,71,2,29.95,1,1,2,4
9367-WXLCH,3,High Risk,64,4,84.5,2,3,4,9
1918-ZBFQJ,3,High Risk,59,4,79.25,2,3,4,9
1024-GUALD,2,New Passives,71,1,24.8,1,1,1,3
2472-OVKUP,3,High Risk,66,5,91.0,2,3,4,9
1285-OKIPP,3,High Risk,71,3,79.9,1,2,4,7
7825-ECJRF,3,High Risk,53,7,106.6,2,5,5,12
7841-TZDMQ,2,New Passives,70,2,46.0,1,1,2,4
9408-SSNVZ,3,High Risk,68,2,70.15,1,1,3,5
0742-MOABM,2,New Passives,68,3,50.05,1,2,2,5
2232-DMLXU,3,High Risk,71,3,55.2,1,2,2,5
8937-RDTHP,3,High Risk,71,4,84.6,1,3,4,8
1251-KRREG,3,High Risk,70,4,54.4,1,3,2,6
0094-OIFMO,3,High Risk,61,5,95.0,2,3,5,10
9947-OTFQU,3,High Risk,57,3,74.4,2,2,3,7
0322-YINQP,2,New Passives,71,3,48.55,1,2,2,5
4629-NRXKX,3,High Risk,70,2,70.4,1,1,3,5
9514-JDSKI,2,New Passives,71,3,40.2,1,2,2,5
4959-JOSRX,2,New Passives,70,2,44.6,1,1,2,4
7273-TEFQD,2,New Passives,69,3,41.15,1,2,2,5
3606-TWKGI,3,High Risk,59,7,106.9,2,5,5,12
6323-AYBRX,0,Loyal Basics,13,1,19.35,4,1,1,6
4385-GZQXV,3,High Risk,56,5,94.45,2,3,5,10
6366-ZGQGL,2,New Passives,71,1,24.8,1,1,1,3
5940-AHUHD,3,High Risk,71,2,70.6,1,1,3,5
6432-TWQLB,3,High Risk,67,5,85.4,1,3,4,8
4484-GLZOU,1,Champions,20,7,105.05,4,5,5,14
9512-UIBFX,3,High Risk,54,5,95.15,2,3,5,10
5583-SXDAG,3,High Risk,71,2,70.0,1,1,3,5
3488-PGMQJ,3,High Risk,64,3,74.5,2,2,3,7
3580-REOAC,2,New Passives,62,2,44.85,2,1,2,5
7534-BFESC,3,High Risk,48,3,76.1,3,2,3,8
6390-DSAZX,3,High Risk,71,3,73.6,1,2,3,6
8098-LLAZX,3,High Risk,68,5,95.45,1,3,5,9
0265-EDXBD,3,High Risk,40,3,74.9,3,2,3,8
7563-BIUPC,3,High Risk,67,3,80.6,1,2,4,7
2321-OMBXY,1,Champions,34,7,80.3,3,5,4,12
2840-XANRC,3,High Risk,48,5,93.15,3,3,4,10
5020-ZSTTY,1,Champions,18,8,82.45,4,5,4,13
5804-LEPIM,3,High Risk,70,2,70.35,1,1,3,5
0122-OAHPZ,3,High Risk,65,3,73.85,2,2,3,7
2868-SNELZ,3,High Risk,70,4,80.6,1,3,4,8
4322-RCYMT,1,Champions,4,7,75.8,5,5,3,13
6680-NENYN,1,Champions,29,7,104.6,4,5,5,14
1343-EHPYB,1,Champions,9,7,103.4,5,5,5,15
2034-GDRCN,3,High Risk,70,4,90.4,1,3,4,8
0219-YTZUE,3,High Risk,68,5,84.8,1,3,4,8
0623-IIHUG,2,New Passives,51,3,41.9,3,2,2,7
4572-DVCGN,3,High Risk,62,3,80.25,2,2,4,8
9057-MSWCO,2,New Passives,45,2,30.75,3,1,2,6
1010-DIAUQ,3,High Risk,67,5,96.5,1,3,5,9
0259-GBZSH,3,High Risk,70,4,85.65,1,3,4,8
9601-BRXPO,1,Champions,47,7,104.95,3,5,5,13
6905-NIQIN,2,New Passives,71,3,50.65,1,2,2,5
5167-ZFFMM,3,High Risk,71,5,90.85,1,3,4,8
4895-TMWIR,2,New Passives,61,1,19.95,2,1,1,4
0533-BNWKF,1,Champions,17,5,85.45,4,3,4,11
6599-CEBNN,3,High Risk,38,3,73.95,3,2,3,8
0979-PHULV,1,Champions,3,6,99.45,5,4,5,14
4800-VHZKI,2,New Passives,71,1,19.9,1,1,1,3
7989-CHGTL,2,New Passives,71,1,19.6,1,1,1,3
0334-GDDSO,3,High Risk,69,4,81.35,1,3,4,8
0578-SKVMF,3,High Risk,50,4,83.3,3,3,4,10
5564-NEMQO,3,High Risk,71,3,75.3,1,2,3,6
9063-ZGTUY,0,Loyal Basics,11,1,19.4,5,1,1,7
2957-LOLHO,2,New Passives,60,2,45.4,2,1,2,5
7752-XUSCI,1,Champions,12,7,105.9,5,5,5,15
4110-PFEUZ,3,High Risk,71,2,69.55,1,1,3,5
0256-LTHVJ,3,High Risk,44,3,81.05,3,2,4,9
0880-TKATG,3,High Risk,68,6,101.15,1,4,5,10
3811-VBYBZ,3,High Risk,65,6,99.8,2,4,5,11
4640-UHDOS,3,High Risk,59,3,55.95,2,2,2,6
3583-EKAPL,3,High Risk,71,3,55.0,1,2,2,5
9399-APLBT,3,High Risk,71,3,74.7,1,2,3,6
2359-KMGLI,3,High Risk,48,4,80.25,3,3,4,10
0306-JAELE,3,High Risk,67,5,96.1,1,3,5,9
6227-HWPWX,3,High Risk,57,2,69.0,2,1,3,6
0447-BEMNG,0,Loyal Basics,24,4,45.3,4,3,2,9
5949-XIKAE,3,High Risk,64,4,83.55,2,3,4,9
8372-JUXUI,3,High Risk,71,3,74.35,1,2,3,6
0388-EOPEX,3,High Risk,70,3,74.4,1,2,3,6
8205-OTCHB,3,High Risk,50,4,43.75,3,3,2,8
6235-VDHOM,2,New Passives,67,2,28.45,1,1,2,4
7783-YKGDV,3,High Risk,60,7,99.7,2,5,5,12
5609-CEBID,3,High Risk,52,6,94.1,3,4,4,11
7218-HKQFK,3,High Risk,70,5,94.2,1,3,4,8
4636-QRJKY,3,High Risk,66,4,80.5,2,3,4,9
5956-VKDTT,3,High Risk,67,3,74.35,1,2,3,6
9412-GHEEC,1,Champions,32,7,104.8,4,5,5,14
0257-ZESQC,3,High Risk,45,3,75.2,3,2,3,8
6825-UYPFK,3,High Risk,49,3,75.6,3,2,3,8
8397-MVTAZ,1,Champions,38,6,100.05,3,4,5,12
9282-IZGQK,3,High Risk,71,4,85.0,1,3,4,8
1342-JPNKI,3,High Risk,62,4,86.05,2,3,4,9
2817-NTQDO,3,High Risk,59,4,45.55,2,3,2,7
6986-IJDHX,3,High Risk,33,4,86.3,3,3,4,10
5301-GAUUY,3,High Risk,40,4,80.35,3,3,4,10
0939-YAPAF,1,Champions,37,6,100.25,3,4,5,12
4710-FDUIZ,1,Champions,16,6,100.3,4,4,5,13
1218-VKFPE,2,New Passives,60,1,19.0,2,1,1,4
3627-FHKBK,3,High Risk,71,3,75.3,1,2,3,6
2865-TCHJW,3,High Risk,68,5,89.2,1,3,4,8
5192-EBGOV,3,High Risk,71,4,85.7,1,3,4,8
0719-SYFRB,3,High Risk,60,6,61.65,2,4,3,9
3419-SNJJD,1,Champions,7,7,105.25,5,5,5,15
6543-CPZMK,2,New Passives,63,2,29.95,2,1,2,5
4765-OXPPD,3,High Risk,63,6,65.0,2,4,3,9
1009-IRMNA,2,New Passives,65,1,20.0,2,1,1,4
4554-YGZIH,1,Champions,23,5,90.05,4,3,4,11
5099-BAILX,1,Champions,29,8,110.75,4,5,5,14
7207-RMRDB,1,Champions,7,7,105.5,5,5,5,15
4913-EHYUI,1,Champions,16,7,104.55,4,5,5,14
0195-IESCP,3,High Risk,62,4,85.25,2,3,4,9
4580-TMHJU,0,Loyal Basics,29,3,56.15,4,2,2,8
0970-ETWGE,3,High Risk,71,4,89.55,1,3,4,8
1626-ERCMM,3,High Risk,52,5,94.55,3,3,5,11
0887-HJGAR,2,New Passives,71,2,45.7,1,1,2,4
5644-PDMZC,3,High Risk,70,5,89.5,1,3,4,8
9576-ANLXO,3,High Risk,69,2,69.55,1,1,3,5
2024-BASKD,3,High Risk,71,3,74.6,1,2,3,6
4160-AMJTL,2,New Passives,64,1,19.65,2,1,1,4
4464-JCOLN,2,New Passives,70,1,19.85,1,1,1,3
5650-VDUDS,2,New Passives,68,1,24.25,1,1,1,3
7538-GWHML,3,High Risk,70,2,69.65,1,1,3,5
3859-CVCET,2,New Passives,68,2,45.65,1,1,2,4
3276-HDUEG,3,High Risk,71,3,75.05,1,2,3,6
0823-HSCDJ,0,Loyal Basics,20,4,49.15,4,3,2,9
0822-GAVAP,2,New Passives,70,2,34.7,1,1,2,4
1448-PWKYE,3,High Risk,71,3,80.0,1,2,4,7
0067-DKWBL,2,New Passives,70,3,49.25,1,2,2,5
2276-YDAVZ,3,High Risk,69,3,75.1,1,2,3,6
