CustomerID,Recency,Frequency,Monetary,Churn Label,Churn Value,CLTV,Contract,tenure_group,risk_segment,R_Score,F_Score,M_Score,RFM_Score,Cluster,Segment,PCA1,PCA2
3668-QPYBK,70,4,53.85,Yes,1,3239,Month-to-month,New,Low Risk,1,3,2,6,3,High Risk,-0.7929021768231816,0.9133641999147294
9237-HQITU,70,2,70.7,Yes,1,2701,Month-to-month,New,Low Risk,1,1,3,5,3,High Risk,-1.0230051845134787,1.0413869820817252
9305-CDSKC,64,6,99.65,Yes,1,5372,Month-to-month,New,Low Risk,2,4,5,11,3,High Risk,0.8201766886997417,1.5155362073114458
7892-POOKP,44,7,104.8,Yes,1,5003,Month-to-month,Mid,Low Risk,3,5,5,13,1,Champions,1.5601323070348339,0.9403570494277109
0280-XJGEX,23,7,103.7,Yes,1,5340,Month-to-month,Loyal,Low Risk,4,5,5,14,1,Champions,1.902927880284268,0.17204486074016864
4190-MFLUW,62,4,55.2,Yes,1,5925,Month-to-month,New,Low Risk,2,3,2,7,3,High Risk,-0.6262090020923986,0.6473570123106187
8779-QRDMV,71,3,39.65,Yes,1,5433,Month-to-month,New,Low Risk,1,2,2,5,2,New Passives,-1.3870985636267792,0.671910940097839
1066-JKSGK,71,1,20.15,Yes,1,4832,Month-to-month,New,Low Risk,1,1,1,3,2,New Passives,-2.359066503478796,0.251653834977096
6467-CHFZW,25,6,99.35,Yes,1,5789,Month-to-month,Loyal,Low Risk,4,4,5,13,1,Champions,1.4923669041109935,0.11495884382397184
8665-UTDHZ,71,2,30.2,Yes,1,2915,Month-to-month,New,Low Risk,1,1,2,4,2,New Passives,-1.8669598518568171,0.46630739348482175
8773-HHUOZ,55,4,64.7,Yes,1,3022,Month-to-month,Mid,Low Risk,2,3,3,8,3,High Risk,-0.31057561300845693,0.5400753672388618
6047-YHPVI,67,2,69.7,Yes,1,2454,Month-to-month,New,Low Risk,1,1,3,5,3,High Risk,-0.9912362083379518,0.9189149860361767
5380-WJKOV,38,7,106.35,Yes,1,2941,Month-to-month,Mid,Low Risk,3,5,5,13,1,Champions,1.6961219927882012,0.7489589610469708
8168-UQWWF,61,6,97.85,Yes,1,5674,Month-to-month,New,Low Risk,2,4,5,11,3,High Risk,0.8356185136860145,1.3809975287396197
7760-OYPDY,70,3,80.65,Yes,1,5586,Month-to-month,New,Low Risk,1,2,4,7,3,High Risk,-0.5329394267901567,1.254532205273666
9420-LOJKX,57,6,99.1,Yes,1,2966,Month-to-month,Mid,Low Risk,2,4,5,11,3,High Risk,0.9307002409686823,1.2566668630033264
7495-OOKFY,64,4,80.65,Yes,1,5302,Month-to-month,New,Low Risk,2,3,4,9,3,High Risk,-0.1415867816589912,1.1028207787696263
1658-BYGOY,54,5,95.45,Yes,1,3179,Month-to-month,Mid,Low Risk,2,3,5,10,3,High Risk,0.6213887140228285,1.03115812181812
5698-BQJOH,63,5,94.4,Yes,1,5571,Month-to-month,New,Low Risk,2,3,5,10,3,High Risk,0.4434255826006508,1.3374865296654854
5919-TMRGD,71,3,79.35,Yes,1,2483,Month-to-month,New,Low Risk,1,2,4,7,3,High Risk,-0.5768636858600591,1.2707200604643654
